Code,Cost
25078 ,"$3,133.00 "
25085 ,"$1,583.00 "
25100 ,"$1,246.00 "
25101 ,"$1,425.00 "
25105 ,"$1,301.00 "
25107 ,"$1,940.00 "
25109 ,"$1,915.00 "
25110 ,$917.00 
25111 ,"$1,130.00 "
25112 ,"$1,303.00 "
25115 ,"$3,016.00 "
25116 ,"$2,664.00 "
25118 ,"$1,421.00 "
25119 ,"$1,331.00 "
25120 ,"$2,390.00 "
25130 ,"$1,591.00 "
25135 ,"$1,428.00 "
25136 ,"$1,287.00 "
25145 ,"$1,909.00 "
25150 ,"$2,019.00 "
25151 ,"$2,647.00 "
25170 ,"$5,222.00 "
25210 ,"$1,685.00 "
25215 ,"$2,227.00 "
25230 ,"$1,528.00 "
25240 ,"$1,602.00 "
25246 ,$958.00 
25248 ,"$1,372.00 "
25250 ,"$1,438.00 "
25259 ,"$1,479.00 "
25260 ,"$1,987.00 "
25263 ,"$1,983.00 "
25265 ,"$2,646.00 "
25270 ,"$1,689.00 "
25272 ,"$1,499.00 "
25274 ,"$2,341.00 "
25275 ,"$2,122.00 "
25280 ,"$1,518.00 "
25290 ,"$1,541.00 "
25295 ,"$2,472.00 "
25300 ,"$2,459.00 "
